x_m,y_m,w_tr_right_m,w_tr_left_m
-1.2738483495246533,-2.069566341366033,2.432477741434272,2.4324777414342726
2.376687785551245,-4.682147872664395,2.259637009128472,2.2596370091284723
5.993308802948464,-7.397902574079403,2.1262671231569246,2.126267123156925
9.607128203956265,-10.122225282922594,2.034051583549011,2.0340515835490107
13.249259489863915,-12.760510836505503,1.9858168580329538,1.9858168580329538
16.950816161960674,-15.218154072139672,1.9853923844517227,1.9853923844517227
20.742911721535812,-17.400549827136633,2.0374123524261263,2.0374123524261285
24.656659669878586,-19.21309293880793,2.1470864168310286,2.147086416831029
28.723173508278258,-20.561178244465093,2.3199978502314087,2.3199978502314087
32.96349475595867,-21.323670509275374,2.5883303108856457,2.588330310885642
37.06695657491437,-20.4535652430078,3.129517062938216,3.1295170629382203
40.94266710111613,-18.08866865215785,3.181199458574848,3.1811994585748518
46.61388446138004,-14.079245464668855,3.210103881370248,4.640149731514939
50.001232491499415,-11.1138130398901,3.156870655632231,4.715662690221683
52.94166524257812,-7.854816623848512,3.0531998117306607,4.8313363388326245
55.28208828045744,-4.264793344714276,2.91388624381152,4.98997661093031
56.89439294023663,-0.3437210146900598,2.789718757513743,5.164941377148826
57.826448735051066,3.7702229767907323,2.754613953651078,5.227360133929995
58.21166812312887,8.022243029670125,2.7807373727271405,5.338325618496007
58.18366093183868,12.383549055023742,2.832262871763227,5.488320152971447
57.87603698854912,16.825350963927185,2.879171203863135,5.619974415092424
57.42240612062879,21.31885866745608,2.8959086482554546,5.684260377339526
56.95637815544637,25.83528207668605,2.860120095778683,5.6409857536516155
56.6110404816287,30.34594510765119,2.753096058111528,5.458955743564614
56.476358112989864,34.83158170699487,2.602665440944621,5.148679580842885
56.5675467122384,39.28922059874377,2.5106053770549637,4.780088143509791
56.85266822509206,43.71800166502305,2.5406072477404638,4.439122550835439
57.19624559039981,48.11833932433374,2.6496830096737987,4.208908389593469
57.291154079763785,50.2078632782878,2.644536027607261,2.644536027607264
57.43986159883498,54.57219718908459,2.7139172397244877,2.7139172397244833
57.29449597495934,58.913549726399175,2.814120740064865,2.814120740064865
56.112343320606904,65.44511334364212,2.757286160176982,4.422266660165385
54.35699535487572,69.48931092814234,2.517347118030249,4.670438454020453
51.136377385935305,72.34255412786777,2.676115440247687,5.245600469996703
44.6271817511947,73.07856964477966,2.618807513263524,8.461017327782251
39.34242517384143,69.13008033929535,2.5902938511482585,11.574316780514653
38.09064077213917,64.99404608631201,2.550743958130443,12.298545002164147
38.45871149606545,60.60310796481993,2.591912879207374,13.132243204771523
38.25892772336309,56.24584990611801,2.6929220869786152,14.032359570124749
36.300944269609246,52.3799218942669,2.9588584219314225,13.570061900391865
34.759928229420275,50.96366163910335,2.4340976306268822,10.412601291483519
31.126486547077484,48.4120869471042,2.099117425420556,9.5463214411112
27.43554744342198,45.93741972487714,2.2080596854345873,9.236255003280558
24.650269112976297,42.66439919179535,2.673171471228914,9.084828199863026
24.323954234885946,36.49170925531243,2.392378506810053,11.227684265788596
26.90425275454775,33.1233508191749,2.311176421881171,12.136083874016029
30.189544614459976,29.777040411854735,2.3571058724745386,13.74729706464365
32.659090868599165,25.998219235103463,2.4305448932884293,14.58163731463329
33.17118172185117,23.95382235899202,2.846925237152959,11.990720375902857
32.76402043823374,19.865593876885004,2.6736580254458873,10.205049993822719
31.535280984445876,18.150996684521928,2.9339750044862516,6.835202302411983
28.275958716407757,15.124243357351624,2.559480774776372,6.002859396591811
24.16256605539125,13.595414723893313,2.6570001154202756,4.783480691040448
22.072247777847927,13.376010109219434,2.589106328465794,2.589106328465794
17.74169983168177,13.679183360730004,2.433765753298622,2.4337657532986228
13.54034910907459,14.990226182682322,2.5341821168404635,2.5341821168404635
11.63169784300818,15.911388080414508,2.7802018716346786,4.281812674210794
