x_m,y_m,w_tr_right_m,w_tr_left_m
-1.274270911439089,-2.075034014414996,2.4350631442981143,2.4350631442981143
29.582461390993558,-20.56947776535526,2.4526430631281144,2.4526430631281144
33.264657756866654,-21.406406870577484,2.663465182458278,2.663465182458278
38.26805178934592,-19.683254899457097,2.983864477950834,2.983864477950834
55.70215093228035,-3.5142084467224777,2.9013397214737977,2.9013397214737977
56.81813233863795,-0.5516087892465293,2.8127080061020715,2.8127080061020715
56.453781426884234,34.00899041676894,2.716200005759067,2.716200005759067
56.263829562667524,65.0080871055834,2.6196920054160637,2.6196920054160637
55.06611041992437,68.35693243471906,2.4972620400457277,2.4972620400457277
52.610551353980554,71.44401963567361,2.524239629039281,2.524239629039281
48.98703891370678,73.15897611575201,2.6158849592868934,2.6158849592868934
44.97137926777941,73.17534967837855,2.637412989576026,2.637412989576026
41.43284720130032,71.42132150568068,2.5964565175461245,2.5964565175461245
38.90119457093533,68.26330070383847,2.5883456900292887,2.5883456900292887
38.079424692870816,63.69895682344213,2.5536388378375032,2.5536388378375032
38.200359123322414,62.306277342606336,2.501077288447216,2.501077288447216
38.506432546681026,58.04517584340647,2.591735333283757,2.591735333283757
38.017093915259466,55.19924732577056,2.7859753493972694,2.7859753493972694
36.98377153425827,53.49315217882395,2.632874500324211,2.632874500324211
34.44967844491475,50.56001458177343,2.509526302932017,2.509526302932017
26.069526145991404,44.59219111595303,2.4300886191044104,2.4300886191044104
24.15574656499666,41.91507967514917,2.515201755847288,2.515201755847288
23.930117093230365,37.53576081804931,2.5096425321958895,2.5096425321958895
24.28399802587228,36.658484504092485,2.5336478853938402,2.5336478853938402
32.10459191084374,27.064266758970916,2.555526510131708,2.555526510131708
32.708582987921545,25.72112132050097,2.4397397484865317,2.4397397484865317
33.32934217777802,22.944327246863395,2.4761793975257866,2.4761793975257866
33.40766671273741,21.47159070847556,2.6783936751388047,2.6783936751388047
31.706717252731323,18.128786373417825,2.6064883364505573,2.6064883364505573
28.44499053785694,15.423791990615427,2.8150224225160687,2.8150224225160687
26.83250189368846,14.417678041849285,2.6555509833238466,2.6555509833238466
23.140608269284712,13.383832086343318,2.434247406812754,2.434247406812754
19.455055699072545,13.454096001107246,2.519156864515397,2.519156864515397
17.375588453462115,13.79316026950255,2.7336428392609937,2.7336428392609937
11.449513062863844,16.016220644582063,2.4963789037728428,2.4963789037728428
6.547507775365375,19.511587475426495,2.9757314190050224,2.9757314190050224
4.64044403200387,21.36700626090169,2.668365824018516,2.668365824018516
1.5658505187602714,26.20250480202958,2.7016085561233116,2.7016085561233116
-0.40976969682378694,32.489226751960814,2.7406183106629833,2.7406183106629833
-0.5003153320285492,34.93152964254841,2.8271545395830633,2.8271545395830633
0.0037603605305776,39.654175359755754,2.59567854487722,2.59567854487722
4.57059899851447,59.01205975096673,2.654837403731014,2.654837403731014
4.4632379918475635,63.91080874949694,2.5789018832421737,2.5789018832421737
2.664679692214122,68.90078829508275,2.77366995819368,2.77366995819368
-0.7220383642124943,71.84411850199103,2.6478729159803076,2.6478729159803076
-5.831034322298365,73.73365622386336,2.6276469115303165,2.6276469115303165
-12.618781904806383,74.53885217150673,2.8712853992303122,2.8712853992303122
-18.902603864407865,73.8266845731996,2.5455906039901426,2.5455906039901426
-23.45704480173299,71.5000188453123,2.653407065854665,2.653407065854665
-25.524009081651457,69.10093130171299,2.654091660152709,2.654091660152709
-26.8791607307503,65.6987502281554,2.5860270766736355,2.5860270766736355
-27.348285498825135,62.42854605009779,2.6673474963916215,2.6673474963916215
-26.70235558063723,59.03033633856103,2.6030060963386736,2.6030060963386736
-20.441006519307848,43.8516319305636,2.6065225787585447,2.6065225787585447
-20.304440827923827,39.76047196704894,2.505199066562424,2.505199066562424
-21.84861429402372,36.45196556299925,2.630752453995568,2.630752453995568
-24.644342280051205,34.338464902248234,2.5769959082183402,2.5769959082183402
-33.79850254635676,30.666232560761273,3.0172424767197548,3.0172424767197548
-36.30200676122331,27.109714115969837,2.8802422670157433,2.8802422670157433
-36.73271110889618,24.30317616229877,2.689889951727999,2.689889951727999
-36.32508646053611,21.42040592385456,2.6184687665898294,2.6184687665898294
-34.56171416150755,18.35822051903233,2.4941189693108665,2.4941189693108665
-31.520993345126044,16.053567353170365,2.7070361840696293,2.7070361840696293
-1.274270911439089,-2.075034014414996,2.4350631442981143,2.4350631442981143
