x,y
161,149
162,149
163,149
172,149
173,149
174,149
43,148
44,148
45,148
46,148
47,148
48,148
52,148
59,148
72,148
73,148
74,148
75,148
123,148
124,148
125,148
132,148
133,148
134,148
162,148
163,148
164,148
173,148
174,148
175,148
42,147
43,147
44,147
45,147
46,147
47,147
48,147
72,147
73,147
74,147
75,147
76,147
122,147
123,147
124,147
132,147
133,147
134,147
162,147
163,147
164,147
173,147
174,147
175,147
41,146
42,146
43,146
44,146
45,146
46,146
47,146
73,146
74,146
75,146
76,146
77,146
78,146
122,146
123,146
124,146
132,146
133,146
134,146
163,146
164,146
165,146
174,146
175,146
176,146
41,145
42,145
43,145
44,145
75,145
76,145
77,145
78,145
79,145
122,145
123,145
124,145
132,145
133,145
134,145
163,145
164,145
165,145
174,145
175,145
176,145
39,144
40,144
41,144
42,144
76,144
77,144
78,144
79,144
121,144
122,144
123,144
124,144
132,144
133,144
134,144
163,144
164,144
165,144
166,144
174,144
175,144
176,144
177,144
37,143
38,143
39,143
40,143
41,143
77,143
78,143
79,143
80,143
121,143
122,143
123,143
132,143
133,143
164,143
165,143
166,143
175,143
176,143
177,143
36,142
37,142
38,142
39,142
40,142
78,142
79,142
80,142
121,142
122,142
123,142
131,142
132,142
133,142
165,142
166,142
176,142
177,142
34,141
35,141
36,141
37,141
38,141
79,141
80,141
81,141
120,141
121,141
122,141
131,141
132,141
165,141
166,141
167,141
176,141
177,141
178,141
33,140
34,140
36,140
37,140
38,140
56,140
57,140
58,140
59,140
60,140
61,140
62,140
63,140
64,140
65,140
79,140
80,140
81,140
82,140
120,140
121,140
122,140
130,140
131,140
132,140
166,140
167,140
177,140
178,140
32,139
33,139
34,139
35,139
36,139
53,139
54,139
55,139
56,139
57,139
58,139
59,139
60,139
62,139
63,139
64,139
65,139
66,139
67,139
68,139
80,139
81,139
82,139
119,139
120,139
121,139
122,139
130,139
131,139
132,139
166,139
167,139
168,139
177,139
178,139
179,139
32,138
34,138
35,138
50,138
51,138
52,138
53,138
54,138
55,138
56,138
57,138
67,138
68,138
69,138
70,138
81,138
82,138
83,138
119,138
120,138
121,138
130,138
131,138
132,138
167,138
168,138
169,138
178,138
179,138
180,138
32,137
33,137
34,137
35,137
49,137
50,137
51,137
52,137
53,137
54,137
55,137
56,137
68,137
69,137
70,137
71,137
81,137
82,137
83,137
119,137
120,137
121,137
129,137
130,137
131,137
167,137
168,137
169,137
178,137
179,137
180,137
31,136
32,136
33,136
34,136
48,136
49,136
50,136
51,136
52,136
53,136
69,136
70,136
71,136
72,136
82,136
83,136
84,136
118,136
119,136
120,136
121,136
129,136
130,136
131,136
167,136
168,136
169,136
178,136
179,136
180,136
30,135
31,135
32,135
33,135
46,135
47,135
48,135
49,135
50,135
51,135
70,135
71,135
72,135
82,135
83,135
84,135
118,135
119,135
120,135
121,135
129,135
130,135
131,135
168,135
169,135
170,135
179,135
180,135
181,135
30,134
31,134
32,134
33,134
34,134
45,134
46,134
47,134
48,134
49,134
71,134
72,134
73,134
83,134
84,134
118,134
119,134
120,134
129,134
130,134
169,134
170,134
180,134
181,134
182,134
30,133
31,133
33,133
34,133
43,133
44,133
45,133
46,133
47,133
48,133
72,133
73,133
83,133
84,133
85,133
117,133
118,133
119,133
120,133
128,133
129,133
130,133
169,133
170,133
171,133
180,133
181,133
182,133
30,132
31,132
33,132
34,132
42,132
43,132
44,132
45,132
46,132
47,132
73,132
74,132
