x,y
59.0,139.0
59.0,140.0
58.0,139.0
57.0,138.0
56.0,137.0
56.0,138.0
56.0,139.0
55.0,137.0
55.0,139.0
54.0,137.0
54.0,139.0
53.0,136.0
53.0,138.0
52.0,136.0
52.0,137.0
51.0,135.0
51.0,136.0
52.0,148.0
50.0,135.0
50.0,137.0
50.0,150.0
49.0,134.0
49.0,149.0
48.0,133.0
47.0,146.0
47.0,134.0
47.0,132.0
45.0,149.0
46.0,134.0
46.0,132.0
44.0,145.0
45.0,133.0
45.0,132.0
45.0,131.0
44.0,133.0
44.0,132.0
44.0,131.0
44.0,130.0
43.0,132.0
43.0,131.0
43.0,130.0
42.0,132.0
42.0,131.0
42.0,130.0
42.0,129.0
37.0,140.0
41.0,130.0
36.0,140.0
41.0,129.0
41.0,128.0
35.0,139.0
41.0,127.0
40.0,128.0
34.0,138.0
40.0,127.0
39.0,128.0
40.0,126.0
39.0,127.0
33.0,135.0
39.0,126.0
38.0,127.0
33.0,133.0
39.0,125.0
31.0,134.0
39.0,124.0
38.0,125.0
33.0,130.0
38.0,124.0
32.0,129.0
37.0,124.0
38.0,123.0
29.0,130.0
37.0,123.0
29.0,129.0
31.0,127.0
37.0,122.0
31.0,126.0
29.0,127.0
36.0,122.0
37.0,121.0
36.0,121.0
30.0,124.0
37.0,120.0
27.0,125.0
36.0,120.0
27.0,124.0
35.0,120.0
36.0,119.0
35.0,119.0
26.0,122.0
36.0,118.0
35.0,118.0
25.0,121.0
26.0,120.0
36.0,117.0
35.0,117.0
29.0,118.0
26.0,118.0
36.0,116.0
35.0,116.0
26.0,117.0
29.0,116.0
27.0,116.0
36.0,115.0
29.0,115.0
27.0,115.0
36.0,114.0
27.0,113.0
30.0,113.0
36.0,113.0
27.0,112.0
30.0,112.0
26.0,111.0
35.0,112.0
36.0,112.0
37.0,112.0
28.0,110.0
30.0,110.0
27.0,109.0
36.0,111.0
37.0,111.0
28.0,108.0
36.0,110.0
37.0,110.0
27.0,106.0
28.0,106.0
36.0,109.0
27.0,105.0
37.0,109.0
31.0,106.0
38.0,109.0
31.0,105.0
37.0,108.0
38.0,108.0
37.0,107.0
30.0,102.0
38.0,107.0
30.0,101.0
29.0,100.0
30.0,100.0
38.0,106.0
31.0,100.0
39.0,106.0
32.0,99.0
39.0,105.0
32.0,97.0
40.0,105.0
39.0,103.0
40.0,104.0
34.0,96.0
40.0,103.0
41.0,104.0
40.0,102.0
41.0,103.0
35.0,93.0
41.0,102.0
36.0,93.0
41.0,101.0
37.0,93.0
42.0,102.0
37.0,91.0
42.0,101.0
42.0,100.0
43.0,102.0
43.0,101.0
39.0,90.0
43.0,100.0
43.0,99.0
44.0,101.0
40.0,87.0
44.0,100.0
44.0,99.0
42.0,89.0
45.0,100.0
45.0,99.0
45.0,98.0
43.0,85.0
44.0,86.0
46.0,99.0
46.0,97.0
45.0,85.0
42.0,41.0
47.0,99.0
45.0,46.0
47.0,84.0
47.0,49.0
48.0,98.0
49.0,83.0
49.0,94.0
49.0,96.0
51.0,79.0
50.0,94.0
50.0,95.0
51.0,92.0
51.0,95.0
52.0,91.0
52.0,93.0
52.0,94.0
53.0,92.0
53.0,93.0
54.0,91.0
54.0,92.0
55.0,91.0
55.0,92.0
56.0,90.0
57.0,89.0
57.0,90.0
58.0,89.0
59.0,88.0
60.0,86.0
61.0,86.0
62.0,85.0
63.0,84.0
64.0,83.0
94.0,29.0
96.0,29.0
98.0,29.0
100.0,29.0
102.0,29.0
104.0,29.0
106.0,29.0
108.0,29.0
110.0,29.0
113.0,29.0
115.0,29.0
117.0,29.0
120.0,29.0
122.0,29.0
125.0,29.0
128.0,29.0
131.0,29.0
133.0,29.0
93.0,72.0
90.0,76.0
90.0,77.0
89.0,79.0
88.0,81.0
88.0,82.0
86.0,85.0
86.0,86.0
86.0,87.0
85.0,89.0
86.0,89.0
85.0,90.0
84.0,92.0
84.0,93.0
84.0,94.0
85.0,94.0
83.0,96.0
84.0,96.0
83.0,97.0
83.0,98.0
83.0,99.0
82.0,100.0
83.0,100.0
82.0,101.0
82.0,102.0
83.0,102.0
82.0,103.0
82.0,104.0
81.0,105.0
82.0,105.0
81.0,106.0
80.0,107.0
81.0,107.0
80.0,108.0
90.0,107.0
80.0,109.0
80.0,110.0
81.0,110.0
79.0,111.0
89.0,111.0
79.0,112.0
89.0,112.0
79.0,113.0
117.0,113.0
92.0,74.0
109.0,75.0
106.0,75.0
109.0,76.0
92.0,75.0
91.0,75.0
105.0,77.0
104.0,77.0
93.0,76.0
92.0,76.0
91.0,76.0
90.0,76.0
93.0,77.0
105.0,80.0
92.0,77.0
91.0,77.0
90.0,77.0
102.0,81.0
92.0,78.0
91.0,78.0
101.0,82.0
90.0,78.0
135.0,97.0
101.0,83.0
91.0,79.0
99.0,83.0
90.0,79.0
99.0,84.0
100.0,85.0
89.0,79.0
90.0,80.0
98.0,85.0
97.0,85.0
89.0,80.0
90.0,81.0
97.0,86.0
96.0,86.0
89.0,81.0
90.0,82.0
96.0,87.0
