x,y
59.0,139.0
64.0,152.0
63.0,152.0
62.0,152.0
61.0,151.0
61.0,152.0
60.0,152.0
59.0,152.0
58.0,151.0
58.0,152.0
57.0,152.0
56.0,151.0
55.0,150.0
55.0,152.0
54.0,151.0
54.0,152.0
53.0,152.0
52.0,152.0
50.0,136.0
51.0,151.0
50.0,150.0
49.0,137.0
49.0,150.0
48.0,150.0
47.0,150.0
47.0,135.0
46.0,149.0
45.0,149.0
45.0,148.0
44.0,148.0
44.0,146.0
43.0,148.0
43.0,145.0
42.0,147.0
42.0,144.0
41.0,146.0
41.0,144.0
40.0,144.0
40.0,143.0
39.0,144.0
39.0,143.0
42.0,132.0
38.0,143.0
37.0,143.0
37.0,142.0
37.0,141.0
36.0,142.0
36.0,140.0
35.0,141.0
41.0,128.0
34.0,141.0
34.0,140.0
33.0,140.0
33.0,139.0
34.0,137.0
32.0,139.0
32.0,138.0
32.0,137.0
33.0,135.0
32.0,136.0
31.0,136.0
31.0,135.0
33.0,132.0
30.0,135.0
30.0,134.0
38.0,125.0
30.0,133.0
30.0,132.0
30.0,131.0
37.0,124.0
32.0,128.0
29.0,130.0
31.0,128.0
29.0,129.0
30.0,128.0
29.0,128.0
30.0,127.0
28.0,128.0
28.0,127.0
31.0,125.0
28.0,126.0
27.0,126.0
35.0,121.0
27.0,125.0
26.0,125.0
27.0,124.0
26.0,124.0
26.0,123.0
25.0,123.0
25.0,122.0
36.0,118.0
26.0,121.0
25.0,121.0
26.0,120.0
24.0,120.0
25.0,119.0
24.0,119.0
26.0,118.0
24.0,118.0
29.0,117.0
24.0,117.0
29.0,116.0
26.0,116.0
24.0,116.0
29.0,115.0
25.0,115.0
26.0,114.0
26.0,113.0
30.0,113.0
35.0,113.0
26.0,112.0
30.0,112.0
24.0,111.0
27.0,111.0
25.0,110.0
26.0,110.0
28.0,110.0
26.0,109.0
27.0,109.0
28.0,109.0
26.0,108.0
28.0,108.0
27.0,107.0
28.0,107.0
27.0,106.0
28.0,106.0
36.0,109.0
27.0,105.0
28.0,105.0
27.0,104.0
28.0,104.0
29.0,104.0
28.0,103.0
28.0,102.0
29.0,102.0
30.0,102.0
29.0,101.0
30.0,101.0
29.0,100.0
30.0,100.0
29.0,99.0
30.0,99.0
30.0,98.0
31.0,98.0
31.0,97.0
32.0,97.0
32.0,96.0
33.0,96.0
33.0,95.0
34.0,96.0
33.0,94.0
34.0,94.0
34.0,93.0
41.0,103.0
35.0,93.0
35.0,92.0
36.0,93.0
36.0,92.0
36.0,91.0
37.0,92.0
37.0,91.0
42.0,101.0
38.0,91.0
38.0,90.0
39.0,91.0
39.0,90.0
39.0,88.0
40.0,90.0
40.0,88.0
40.0,87.0
41.0,88.0
41.0,86.0
42.0,89.0
42.0,86.0
45.0,99.0
43.0,86.0
43.0,85.0
44.0,86.0
44.0,83.0
45.0,86.0
41.0,35.0
42.0,33.0
43.0,31.0
44.0,29.0
46.0,25.0
47.0,22.0
49.0,20.0
51.0,18.0
53.0,16.0
54.0,16.0
56.0,14.0
58.0,13.0
60.0,12.0
62.0,12.0
64.0,11.0
66.0,10.0
67.0,10.0
69.0,12.0
71.0,12.0
73.0,12.0
75.0,12.0
76.0,13.0
78.0,13.0
79.0,14.0
82.0,15.0
84.0,15.0
86.0,15.0
87.0,16.0
90.0,15.0
92.0,15.0
94.0,15.0
96.0,15.0
98.0,15.0
100.0,15.0
102.0,15.0
103.0,15.0
106.0,16.0
109.0,15.0
112.0,15.0
116.0,13.0
118.0,13.0
121.0,13.0
123.0,12.0
125.0,14.0
128.0,15.0
131.0,15.0
134.0,15.0
138.0,14.0
140.0,13.0
144.0,14.0
146.0,15.0
150.0,15.0
154.0,15.0
157.0,15.0
160.0,15.0
164.0,16.0
170.0,15.0
177.0,13.0
181.0,13.0
184.0,15.0
187.0,16.0
189.0,18.0
191.0,20.0
193.0,21.0
193.0,24.0
195.0,27.0
196.0,29.0
198.0,33.0
198.0,35.0
199.0,40.0
199.0,41.0
200.0,45.0
200.0,47.0
201.0,50.0
203.0,54.0
203.0,55.0
203.0,58.0
204.0,63.0
204.0,64.0
204.0,67.0
204.0,70.0
205.0,74.0
205.0,75.0
205.0,78.0
205.0,81.0
204.0,84.0
204.0,87.0
203.0,90.0
202.0,93.0
200.0,96.0
199.0,99.0
197.0,101.0
196.0,104.0
195.0,107.0
194.0,109.0
193.0,112.0
205.0,76.0
205.0,78.0
205.0,80.0
205.0,82.0
204.0,84.0
204.0,87.0
204.0,88.0
203.0,90.0
202.0,93.0
201.0,95.0
200.0,97.0
199.0,99.0
198.0,100.0
197.0,102.0
196.0,105.0
196.0,106.0
195.0,108.0
194.0,110.0
193.0,112.0
192.0,114.0
192.0,115.0
190.0,118.0
189.0,119.0
188.0,122.0
